,player_name,birth_year,birthplace,popularity
0,Jiang Xingquan,1940,Liaoning,6
1,Léo Westermann,1992,Haguenau,20
2,Lee Sang-Min,1972,Seoul,6
3,Kevin Willis,1962,Los Angeles,19
4,Dahntay Jones,1980,Trenton,20
5,Yassin Idbihi,1983,Cologne,8
6,Ricky Hickman,1985,Winston-Salem,15
7,Wu Naiqun,1971,Liaoning,6
8,Zheng Wu,1967,Zhejiang,6
9,Jared Dudley,1985,San Diego,23
10,Pedro César Ansa Araiz,1962,Barcelona,6
11,Yang Hee-Seung,1974,Gwangju,5
12,DeJuan Collins,1976,Youngstown,12
13,Sun Jun,1969,Changchun,7
14,Kareem Abdul-Jabbar,1947,New York City,80
15,Kenny Rollins,1923,Charleston,18
16,Deon Thomas,1971,Chicago,11
17,Dieter Kuprella,1946,Gelsenkirchen,6
18,Jure Zdovc,1966,Maribor,24
19,James Harden,1989,Los Angeles,51
20,Detlef Musch,1970,Fulda,5
21,Shawn Kemp,1969,Elkhart,30
22,Krešimir Lončar,1983,Split,19
23,Wilt Chamberlain,1936,Philadelphia,63
24,Zach Randolph,1981,Marion,28
25,Makis Dendrinos,1950,Trikala,5
26,Terrell McIntyre,1977,Fayetteville,13
27,Sonny Weems,1986,West Memphis,17
28,Carmelo Anthony,1984,Brooklyn,51
29,Nikita Kurbanov,1986,Moscow,18
30,Sergio Rodríguez,1986,Santa Cruz de Tenerife,30
31,Reggie Geary,1973,Trenton,10
32,2 Chainz,1977,College Park,39
33,Miguel López Abril,1954,L'Hospitalet de Llobregat,7
34,K. C. Rivers,1987,Richmond,15
35,Jerel Blassingame,1981,Brooklyn,10
36,Paul Pierce,1977,Oakland,48
37,Anatoly Kashirov,1987,Moscow,11
38,Rubén Quintana,1980,"Agüimes, Las Palmas",5
39,Christos Tapoutos,1982,Thessaloniki,7
40,Deanna Nolan,1979,Flint,14
41,Kemba Walker,1990,The Bronx,28
42,Kristen Mann,1983,Lakewood,12
43,Franz Vranitzky,1937,Vienna,42
44,Kang Dong-Hee,1966,Incheon,5
45,Dino Rađa,1967,Split,33
46,E. J. Rowland,1983,Frankfurt,14
47,Juan Ramón Fernández,1954,Badalona,6
48,Pervis Ellison,1967,Savannah,17
49,Marijonas Petravičius,1979,Šilalė,15
50,Michael Pappert,1957,Aachen,6
51,Winsome Frazier,1982,Miami,5
52,Tiit Sokk,1964,Tartu,21
53,Danielle McCray,1987,Boynton Beach,10
54,Shaquille O'Neal,1972,Newark,71
55,Jusuf Nurkić,1994,Tuzla,30
56,DeJuan Blair,1989,Pittsburgh,23
57,Gur Shelef,1974,Tel Aviv,9
58,Muggsy Bogues,1965,Baltimore,33
59,Brad Johnson,1968,Marietta,9
60,Douglas Spradley,1966,Tacoma,6
61,Joe Johnson,1981,Little Rock,33
62,Branislav Prelević,1966,Belgrade,10
63,Deron Washington,1985,New Orleans,12
64,Víctor Escorial,1949,Madrid,5
65,Katie Douglas,1979,Indianapolis,14
66,Memos Ioannou,1958,Athens,8
67,Magic Johnson,1959,Lansing,77
68,Zhang Jinsong,1973,Taiyuan,7
69,Ricardo González Tezanos,1975,Torrelavega,5
70,Danny Ferry,1966,Baltimore,16
71,Guo Shiqiang,1975,Liaoyang,7
72,Mark Price,1964,Bartlesville,22
73,Walter Szczerbiak,1949,Hamburg,13
74,Sidney Moncrief,1957,Little Rock,21
75,Jim Calhoun,1942,Braintree,11
76,Arnd Neuhaus,1967,Hagen,7
77,Andre Iguodala,1984,Springfield,42
78,Zackary Wright,1985,Austin,14
79,Dimitris Karadolamis,1987,Giannitsa,5
80,John Salmons,1979,Philadelphia,17
81,Dimos Dikoudis,1977,Larissa,15
82,Joan Filbá,1955,Mataró,6
83,Rashard Lewis,1979,Pineville,28
84,DeMarre Carroll,1986,Birmingham,22
85,Paul Davis,1984,Rochester,13
86,Drago Pašalić,1984,Split,14
87,Chuck Daly,1930,St. Marys,26
88,Dietrich Keller,1943,Mainz,7
89,Artem Zabelin,1988,Khabarovsk,7
90,David Arigbabu,1975,Hanover,6
91,Kimmo Muurinen,1981,Vantaa,9
92,Ronny Turiaf,1983,Fort-de-France,26
93,Emilio Kovačić,1968,Zadar,12
94,Hyun Joo-Yup,1975,Seoul,6
95,Andrés Mazali,1902,Neighborhood Guruyú,23
