,movie_name,director_name,popularity
0,The Intouchables,Olivier Nakache,60
1,The Intouchables,Éric Toledano,60
2,Swept Away,Lina Wertmüller,18
3,Kick-Ass,Matthew Vaughn,49
4,12 Angry Men,Sidney Lumet,71
5,Gone with the Wind,George Cukor,93
6,Gone with the Wind,Victor Fleming,93
7,Gone with the Wind,Sam Wood,93
8,The Manchurian Candidate,Jonathan Demme,35
9,Cleopatra,Joseph L. Mankiewicz,47
10,Wanted,Timur Bekmambetov,45
11,Matchstick Men,Ridley Scott,30
12,Skyfall,Sam Mendes,77
13,Four Lions,Chris Morris,23
14,V for Vendetta,James McTeigue,96
15,The Last Airbender,M. Night Shyamalan,41
16,Eraserhead,David Lynch,46
17,E.T. the Extra-Terrestrial,Steven Spielberg,65
18,Swing Vote,Joshua Michael Stern,20
19,8½,Federico Fellini,56
20,Hackers,Iain Softley,39
21,The Day After Tomorrow,Roland Emmerich,63
22,And Now for Something Completely Different,Ian MacNaughton,29
23,The Sisterhood of the Traveling Pants 2,Sanaa Hamri,19
24,Buried,Rodrigo Cortés,29
25,Star Wars: Episode IV – A New Hope,George Lucas,93
26,Variety Lights,Federico Fellini,24
27,Variety Lights,Alberto Lattuada,24
28,The White Sheik,Federico Fellini,20
29,I Vitelloni,Federico Fellini,29
30,La Strada,Federico Fellini,53
31,Il bidone,Federico Fellini,20
32,Nights of Cabiria,Federico Fellini,45
33,La Dolce Vita,Federico Fellini,55
34,Juliet of the Spirits,Federico Fellini,27
35,Spirits of the Dead,Federico Fellini,18
36,Spirits of the Dead,Louis Malle,18
37,Spirits of the Dead,Roger Vadim,18
38,Satyricon,Federico Fellini,30
39,Roma,Federico Fellini,24
40,Amarcord,Federico Fellini,51
41,Fellini's Casanova,Federico Fellini,29
42,Orchestra Rehearsal,Federico Fellini,17
43,City of Women,Federico Fellini,25
44,And the Ship Sails On,Federico Fellini,21
45,Ginger and Fred,Federico Fellini,20
46,Intervista,Federico Fellini,16
47,The Voice of the Moon,Federico Fellini,19
48,Birthday Girl,Jez Butterworth,23
49,National Lampoon's Van Wilder,Walt Becker,23
50,The Magnificent Seven,John Sturges,58
51,GoldenEye,Martin Campbell,66
52,Paradise Alley,Sylvester Stallone,19
53,Red Sun,Terence Young,22
54,Domino,Tony Scott,29
55,Wolfhound,Nikolai Lebedev,19
56,People Like Us,Alex Kurtzman,15
57,Rear Window,Alfred Hitchcock,59
58,Frida,Julie Taymor,47
59,The Postman Always Rings Twice,Bob Rafelson,33
60,The Death and Life of Bobby Z,John Herzfeld,20
61,The Pleasure Garden,Alfred Hitchcock,24
62,The Hidden Fortress,Akira Kurosawa,38
63,Iron Eagle,Sidney J. Furie,15
64,Buffy the Vampire Slayer,Fran Rubel Kuzui,34
65,Dazed and Confused,Richard Linklater,28
66,Mallrats,Kevin Smith,28
67,200 Cigarettes,Risa Bramon Garcia,21
68,School Ties,Robert Mandel,28
69,Chasing Amy,Kevin Smith,35
70,The Sisterhood of the Traveling Pants,Ken Kwapis,26
71,Forces of Nature,Bronwen Hughes,26
72,Dogma,Kevin Smith,41
73,Barbarella,Roger Vadim,34
74,Under the Tuscan Sun,Audrey Wells,27
75,"The Good, the Bad and the Ugly",Sergio Leone,86
76,Ghost Rider,Mark Steven Johnson,49
77,Ghost Rider: Spirit of Vengeance,Brian Taylor,42
78,Ghost Rider: Spirit of Vengeance,Mark Neveldine,42
79,Goodfellas,Martin Scorsese,63
80,Star Wars: Episode III – Revenge of the Sith,George Lucas,84
81,Heat,Michael Mann,55
82,"Goodbye, Mr. Chips",Sam Wood,31
83,A Very Harold & Kumar Christmas,Todd Strauss-Schulson,21
84,Jab Tak Hai Jaan,Yash Chopra,26
85,Moonwalker,Colin Chilvers,29
86,Moonwalker,Jerry Kramer,29
87,Michael Jackson's This Is It,Kenny Ortega,33
88,Titanic,James Cameron,129
89,42nd Street,Lloyd Bacon,31
90,City Hall,Harold Becker,22
91,Race 2,Abbas Alibhai Burmawalla,18
92,Race 2,Mastan Alibhai Burmawalla,18
93,Madigan,Don Siegel,16
94,The Angels' Share,Ken Loach,24
95,Carrie,Kimberly Peirce,35
96,Invasion of the Body Snatchers,Don Siegel,37
97,Coogan's Bluff,Don Siegel,24
98,The Cabin in the Woods,Drew Goddard,42
99,The Last Stand,Kim Ji-woon,35
100,The Haunting in Connecticut,Peter Cornwell,25
101,Memoirs of a Geisha,Rob Marshall,48
102,Labyrinth of Passion,Pedro Almodóvar,22
