,university_name,founding_year,city,popularity
0,California Maritime Academy,1929.0,,7
1,"California State Polytechnic University, Pomona",1949.0,,16
2,"California State University, Fresno",1911.0,,12
3,Norwich University,1819.0,,11
4,King Abdulaziz University,1967.0,,27
5,Swedish University of Agricultural Sciences,1977.0,,24
6,University of Rwanda,2013.0,,9
7,Kanagawa University,1928.0,,9
8,Hasanuddin University,1956.0,,12
9,Westfield State University,1838.0,,5
10,University of Nottingham Ningbo,2004.0,,7
11,American University of the Caribbean,1978.0,,9
12,University of Music and Performing Arts Graz,1816.0,,12
13,University of Mary Washington,1908.0,,7
14,Southeastern Oklahoma State University,1909.0,,6
15,National Chiayi University,1919.0,,5
16,Persian Gulf University,1991.0,,6
17,Tarumanagara University,1959.0,,7
18,Šiauliai University,1997.0,,8
19,Francis Marion University,1957.0,,6
20,Moscow State Institute of Radio-engineering Electronics and Automation,1967.0,,9
21,Sebha University,1983.0,,5
22,"Academy of Arts, Architecture and Design in Prague",1885.0,,10
23,University of Kirkuk,2003.0,,9
24,University of Palermo,1806.0,,26
25,World Islamic Sciences and Education University,2008.0,,5
26,University of Toulouse,1229.0,,22
27,National Polytechnic Institute of Toulouse,1969.0,,8
28,Katholieke Universiteit Brussel,1973.0,,6
29,Radford University,1910.0,,11
30,Royal Academy of Turku,1640.0,,20
31,Mercer University,1833.0,,13
32,Saint Petersburg State University of Economics,1930.0,,15
33,"1 Decembrie 1918 University, Alba Iulia",1991.0,,8
34,Moscow State University of Technology STANKIN,1930.0,,9
35,University of Vicenza,,,8
36,"Zewail City of Science, Technology and Innovation",2011.0,,5
37,Siberian State Aerospace University,1960.0,,31
38,Nippon Bunri University,1967.0,,5
39,Anhembi Morumbi University,1970.0,,5
40,Nizam's Institute of Medical Sciences,1961.0,,5
41,Adikavi Nannaya University,2006.0,,5
42,Central University of Haryana,2009.0,,6
43,"Central University of Orissa, Koraput",2009.0,,5
44,Chaudhary Charan Singh University,1965.0,,7
45,Music and Arts University of the City of Vienna,1938.0,,5
46,Omar Al-Mukhtar University,1960.0,,9
47,Ahlulbait University College,2003.0,,5
48,Central South University,2000.0,,9
49,Obihiro University of Agriculture and Veterinary Medicine,1949.0,,6
50,Taisho University,1885.0,,7
51,Parthenope University of Naples,1920.0,,8
52,Tuvan State University,1995.0,,7
53,Manouba University,2000.0,,5
54,Aichi Prefectural University of Fine Arts and Music,1966.0,,5
55,Almaty University of Technology,1957.0,,5
56,Université de Dschang,1993.0,,5
57,University of France,1806.0,,11
58,University of Kairouan,2004.0,,5
59,Princess Sumaya University for Technology,1991.0,,6
60,International University of Rabat,2010.0,,6
61,University of Mostaganem,1978.0,,7
62,Saratov State Technical University,1930.0,,5
63,University of Peloponnese,2002.0,,13
64,University of Yamanashi,1949.0,,11
65,Changsha University,1970.0,,6
66,Pontifical Catholic University of Puerto Rico,1948.0,,6
67,University of Southern Denmark,1998.0,,23
68,Xi'an Jiaotong University,1896.0,,18
69,Nova Southeastern University,1964.0,,11
70,Saint Petersburg Stieglitz State Academy of Art and Design,1876.0,,10
71,"National Institute of Technology, Kurukshetra",1963.0,,6
72,Nakhchivan State University,1967.0,,7
73,Mozarteum University Salzburg,1841.0,,31
74,University of Kurdistan – Hawler,2006.0,,10
75,Shinshu University,1873.0,,13
76,Naropa University,1974.0,,11
77,Schiller International University,1964.0,,8
78,International University,2002.0,,7
79,Fukuoka Prefectural University,1992.0,,5
80,University of Applied Sciences Northwestern Switzerland,2006.0,,9
81,Ball State University,1918.0,,16
82,National Transport University,1944.0,,5
83,National University of Water and Environmental Engineering,1915.0,,6
84,Zurich University of Applied Sciences/ZHAW,1986.0,,7
85,Süleyman Demirel University,1992.0,,8
86,University of Central Oklahoma,1890.0,,9
87,Voronezh State University,1802.0,,15
88,Yanbian University of Science and Technology,1992.0,,5
89,Israelite Seminary of France,1829.0,,6
90,University of Shiga Prefecture,1950.0,,5
91,Bentley University,1917.0,,11
92,Trinity Evangelical Divinity School,1950.0,,8
93,Takushoku University,1900.0,,11
94,Shaanxi Normal University,1944.0,,5
95,National University of Ireland,1908.0,,21
96,University of Life Sciences in Lublin,1955.0,,8
97,Silpakorn University,1943.0,,13
98,Coventry University,1970.0,,21
99,Tainan University of Technology,1965.0,,5
100,Heiligenkreuz Abbey,1101.0,,28
101,Nizhyn Gogol State University,1805.0,,9
102,The University of Tampa,1931.0,,8
103,London College of Fashion,1967.0,,5
104,Tata Institute of Social Sciences,1936.0,,11
105,University of Bedfordshire,1882.0,,15
106,Gori State Teaching University,2007.0,,8
107,Moscow Power Engineering Institute,1930.0,,17
108,Lusíada University,1986.0,,5
109,University of Chinese Academy of Social Sciences,1978.0,,5
110,Centre for Cellular and Molecular Biology,1977.0,,5
111,Estonian Academy of Music and Theatre,1918.0,,17
112,Tokyo Institute of Technology,1881.0,,37
113,University of Sunderland,1901.0,,18
114,Orenburg State University,1971.0,,12
115,National University of General San Martín,1994.0,,7
116,Potti Sreeramulu Telugu University,1985.0,,5
117,Aswan University,2012.0,,6
118,University of Antananarivo,1961.0,,15
119,University of Agronomic Sciences and Veterinary Medicine of Bucharest,1852.0,,7
120,Gyeongnam National University of Science and Technology,1910.0,,5
121,Maharaja Sayajirao University of Baroda,1949.0,,10
122,Seoul National University of Science and Technology,1910.0,,10
123,Kobe City University of Foreign Studies,1946.0,,6
124,Oporto Global University,1986.0,,5
125,Rizal Technological University,1969.0,,6
126,National University of Laos,1996.0,,23
127,Federal University of Uberlândia,1969.0,,5
128,University of Mysore,1916.0,,16
129,Kühne Logistics University,2010.0,,33
130,Brest State University,1945.0,,9
131,Udayana University,1962.0,,13
132,University of Kufa,1987.0,,6
133,Myongji University,1948.0,,9
134,University of Karbala,2002.0,,5
135,Sikkim University,2006.0,,10
136,Port Said University,2010.0,,6
137,Angelo State University,1928.0,,11
138,University of Belgrano,1964.0,,12
139,Ghislieri College,1567.0,,6
140,Huaqiao University,1960.0,,7
141,Jiaying University,1913.0,,5
142,Akita International University,2004.0,,9
143,Jichi Medical University,1972.0,,5
144,North Ossetian State University,1920.0,,8
145,Medical University of Graz,2004.0,,8
146,National Pedagogical Dragomanov University,1834.0,,8
147,Trakia University,1995.0,,5
148,Technological University of Panama,1981.0,,5
149,Zhengzhou University,1956.0,,9
150,Dnipro State Medical University,1801.0,,7
151,University of Prizren,2006.0,,18
152,Kurgan State University,1995.0,,5
153,Omsk State Technical University,1942.0,,5
154,Huazhong Agricultural University,1898.0,,6
155,Anqing Normal University,1898.0,,5
156,Punjab Technical University,1997.0,,6
157,Tecnológico de Antioquia,1983.0,,17
158,Daido University,1939.0,,5
159,Baba Farid University of Health Sciences,1998.0,,7
160,Akaki Tsereteli State University,1930.0,,13
161,Qingdao University of Science and Technology,1950.0,,6
162,Hellenic Open University,1992.0,,10
163,Paris Institute of Earth Physics,1921.0,,9
164,Kyorin University,1966.0,,16
165,University of Liège,1817.0,,34
166,Odesa University,1865.0,,31
167,China Agricultural University,1905.0,,16
168,State Higher Education Institution “Pryazovskyi State Technical University”,1930.0,,9
169,Ateneo de Zamboanga University,1912.0,,7
170,Nazarbayev University,2009.0,,15
171,Rajendra Institute of Medical Sciences,2002.0,,6
172,Babeș-Bolyai University,1776.0,,29
173,Växjö University,1977.0,,9
174,Kavikulguru Kalidas Sanskrit University,1997.0,,5
175,Technion – Israel Institute of Technology,1924.0,,38
176,Åbo Akademi University,1918.0,,28
177,Agricultural University of Cracow,1953.0,,9
178,Université Sainte-Anne,1890.0,,9
179,Ternopil Ivan Pul'uj National Technical University,1960.0,,6
180,Republican Institute for Vocational Education,1993.0,,5
181,National Chung Cheng University,1989.0,,12
182,Zhejiang University of Technology,1953.0,,9
183,National University for Educational Planning and Administration,1962.0,,6
184,Kursk State University,1934.0,,5
185,Neisse University,2001.0,,7
186,Fort Hays State University,1902.0,,7
187,Ganja State University,1938.0,,9
188,Baekseok Arts University,1983.0,,5
189,Turkmen Institute of National Economy,1980.0,,7
190,University of Chemical Technology and Metallurgy,1953.0,,7
191,Medical University of Vienna,2004.0,,16
192,Sacred Heart University,1963.0,,12
193,Veer Bahadur Singh Purvanchal University,1987.0,,7
194,Ablai Khan University,1941.0,,9
195,Islamic University of Madinah,1961.0,,25
196,National Taiwan University of Arts,1955.0,,5
197,Hunan University,976.0,,12
198,K. N. Toosi University of Technology,1928.0,,21
199,Dagestan State Medical University,1932.0,,11
200,Purdue University Northwest,2016.0,,6
201,James Madison University,1908.0,,19
202,Tadulako University,1981.0,,6
203,Vanadzor State University,1969.0,,7
204,Torcuato di Tella University,1991.0,,6
205,Kazan Federal University,1804.0,,51
206,Almaty University of Power Engineering and Telecommunications,1975.0,,5
207,SRH Hochschule Berlin,2002.0,,5
208,University of Shanghai for Science and Technology,1906.0,,7
209,V.О. Sukhomlynskyi National University of Mykolaiv,1913.0,,5
210,Shippensburg University of Pennsylvania,1871.0,,6
211,University of Vaasa,1968.0,,17
212,University of Abou Bekr Belkaïd,1989.0,,8
213,University Carlo Cattaneo,1991.0,,5
214,Soochow University,1900.0,,11
215,Tashkent University of Information Technologies,1955.0,,8
216,Bates College,1855.0,,21
217,University of Bouira,2005.0,,6
218,Saint Petersburg State University of Engineering and Economics,1906.0,,5
219,Northwest A&F University,1934.0,,5
220,University of Harderwijk,1648.0,,19
221,Henan Agricultural University,1913.0,,5
222,University of Chichester,1839.0,,9
223,University of Djibouti,2006.0,,11
224,University of Mauritius,1965.0,,13
225,University of Texas at Tyler,1971.0,,5
226,Southeast University,1902.0,,14
227,Iwate Prefectural University,1998.0,,5
228,Osaka University,1931.0,,46
229,North-Caucasus Federal University,2012.0,,15
230,Moldova State University,1946.0,,25
231,Sichuan University,1896.0,,18
232,Koya University,2003.0,,9
233,National Taiwan University of Science and Technology,1974.0,,9
234,Yogi Vemana University,2006.0,,8
235,Mizoram University,2001.0,,9
236,Mongolian National University of Education,1951.0,,6
237,Inha University Tashkent,2014.0,,7
238,University of the Aegean,1984.0,,15
239,New Era University,1975.0,,6
240,Andhra University,1926.0,,12
241,Dagestan State Technical University,1972.0,,8
242,University of Virginia,1819.0,,64
243,Shanghai University of Finance and Economics,1917.0,,7
244,Military Academy of Modena,1815.0,,7
245,Sakhalin State University,1949.0,,10
246,National Academy of Public Administration,1959.0,,6
247,New Bulgarian University,1991.0,,12
248,University of Economy and Enterprise,1993.0,,6
249,The Chinese University of Hong Kong,1963.0,,35
250,Asbury University,1890.0,,7
251,Najran University,2006.0,,8
252,Central University of Rajasthan,2009.0,,8
253,National Defense University,1976.0,,22
254,Wawasan Open University,2006.0,,6
255,Hanken School of Economics,1909.0,,13
256,University of Eswatini,1964.0,,14
257,Frederick University,2007.0,,6
258,Liverpool Hope University,1844.0,,13
259,Hetman Petro Sahaidachnyi National Army Academy,1899.0,,7
260,Siam University,1965.0,,8
261,Kaohsiung Medical University,1954.0,,5
262,Ion Mincu University of Architecture and Urban Planning,1892.0,,10
263,Advanced Institute of Industrial Technology,2006.0,,5
264,Beihang University,1952.0,,18
265,University of Amsterdam,1632.0,,60
266,Azerbaijan State Academy of Art,2000.0,,12
267,Al Mansour University College,1988.0,,6
268,Rostov State Medical University,1918.0,,14
269,Sanjay Gandhi Post Graduate Institute of Medical Sciences,1983.0,,7
270,Universidad Argentina de la Empresa,1957.0,,6
271,University of Applied Arts Vienna,1867.0,,20
272,European University Cyprus,1961.0,,10
273,Grand Canyon University,1949.0,,7
274,Higher University of San Andrés,1831.0,,13
275,Mykolayiv State Agrarian University,2002.0,,7
276,West Kazakhstan State University,1932.0,,5
277,Emporia State University,1863.0,,8
278,Oguz Han Engineering and Technology University of Turkmenistan,2016.0,,5
279,School of Pedagogical and Technological Education,2002.0,,5
280,Malmö University,1998.0,,27
281,Moi University,1984.0,,10
282,University of Basel,1460.0,,52
283,University of Altdorf,1578.0,,15
284,Sterlitamak State Pedagogical Academy,1940.0,,5
285,Foreign Trade University,1960.0,,5
